agent_id,trip_id,route_id,node_id,station_no,timestamp,h,m,s,travel_time,x_coord,y_coord
2,11028501,SKYT,100652,0,500:00:00,5,0,0,3,-111.990022,33.446946
4,14189837,72,100005,0,500:00:00,5,0,0,1,-111.927994,33.321014
82,14196856,MARS,100328,0,1415:00:00,14,15,0,3,-111.936425,33.425885
88,14196862,JUPI,100277,0,1251:00:00,12,51,0,1,-111.936425,33.425885
308,14197128,MERC,100498,0,801:00:00,8,1,0,2,-111.893555,33.418501
1167,14470240,MLHD,100538,0,1834:00:00,18,34,0,1,-111.885765,33.577728
1245,14470427,MSTG,100594,0,551:00:00,5,51,0,1,-111.855371,33.575907
1322,14481825,MARY,100398,0,1830:00:00,18,30,0,2,-112.228517,33.478876
